"","model","AIC","BIC"
"1","ols_spi",7382.06020757765,7443.49583523386
"2","ols_sci",9003.17776536915,9093.67166757418
"3","ols_multiple",3292.0010089119,3335.40460194917
"4","fe_spi",2588.30294601008,3443.28209755903
"5","fe_sci",4337.54682554898,5045.52853103546
"6","fe_multiple",1073.2015279487,1607.06572230722
