"model","F_statistic","p_value"
"ols_sdg_spi",11.336677921004,2.34986270594033e-12
"fd_sdg_spi",6.63306467001393,7.03356535931284e-07
"fe_sdg_spi",5.7207617253212,7.2216880358572e-06
