"","model","term","estimate","std.error","t.statistic","p.value","residual.SE","r.squared","adj.r.squared"
"1","M1: ols_spi","(Intercept)",18.969221036605,2.51815843770287,7.53297360189506,9.59616798070766e-14,4.76879092038432,0.777516573298237,0.775700382059855
"2","M1: ols_spi","spi_comp",0.287352244966692,0.038469898562471,7.46953477145418,1.52433744600486e-13,4.76879092038432,0.777516573298237,0.775700382059855
"3","M1: ols_spi","di_score",0.205851902518834,0.284909470117646,0.722516883815173,0.470114656597588,4.76879092038432,0.777516573298237,0.775700382059855
"4","M1: ols_spi","log_gdppc",3.31205853587121,0.474897587555426,6.97425849838553,5.01774502804304e-12,4.76879092038432,0.777516573298237,0.775700382059855
"5","M1: ols_spi","factor(year)2017",-0.419064658376331,0.142163611217082,-2.94776317785305,0.00326146570670604,4.76879092038432,0.777516573298237,0.775700382059855
"6","M1: ols_spi","factor(year)2018",-0.959263495165633,0.24016278743896,-3.9942220249648,6.87714164497962e-05,4.76879092038432,0.777516573298237,0.775700382059855
"7","M1: ols_spi","factor(year)2019",-0.630818402975974,0.262473431135359,-2.40336098113739,0.016393036857177,4.76879092038432,0.777516573298237,0.775700382059855
"8","M1: ols_spi","factor(year)2020",-0.655483717391442,0.360424124667836,-1.8186455137972,0.0692096184791255,4.76879092038432,0.777516573298237,0.775700382059855
"9","M1: ols_spi","factor(year)2021",-2.19599389313287,0.517800547282594,-4.24100342237449,2.39261815079589e-05,4.76879092038432,0.777516573298237,0.775700382059855
"10","M1: ols_spi","factor(year)2022",-2.10963321824177,0.492953552332222,-4.27957808248028,2.01843670678053e-05,4.76879092038432,0.777516573298237,0.775700382059855
"11","M1: ols_spi","factor(year)2023",-2.49490855407205,0.525140031493451,-4.75093956744594,2.26399759998181e-06,4.76879092038432,0.777516573298237,0.775700382059855
"12","M2: ols_sci","(Intercept)",1.88149828825055,2.95077222135548,0.63762911777252,0.523812516914774,4.69498422057688,0.744085431305879,0.741524578383656
"13","M2: ols_sci","sci_overall",0.237633436544181,0.0301953200386113,7.8698763993995,6.75090465639051e-15,4.69498422057688,0.744085431305879,0.741524578383656
"14","M2: ols_sci","di_score",-0.0825166125231251,0.267957534974431,-0.307946602550284,0.758165746856174,4.69498422057688,0.744085431305879,0.741524578383656
"15","M2: ols_sci","log_gdppc",5.50845356676003,0.474053057459577,11.6199093752913,6.00769353118114e-30,4.69498422057688,0.744085431305879,0.741524578383656
"16","M2: ols_sci","factor(year)2008",-1.25009471774866,0.235713530442644,-5.30344912912346,1.30642811194252e-07,4.69498422057688,0.744085431305879,0.741524578383656
"17","M2: ols_sci","factor(year)2010",-1.01868180474587,0.297008408253559,-3.42980796650112,0.000620396574437888,4.69498422057688,0.744085431305879,0.741524578383656
"18","M2: ols_sci","factor(year)2011",-1.50521148382973,0.360971322926875,-4.16989214440908,3.22196728552749e-05,4.69498422057688,0.744085431305879,0.741524578383656
"19","M2: ols_sci","factor(year)2012",-1.03527953756089,0.390527277170137,-2.65097881270368,0.00811041904739966,4.69498422057688,0.744085431305879,0.741524578383656
"20","M2: ols_sci","factor(year)2013",-0.955591303762077,0.417556477135904,-2.28853186595656,0.0222451656733983,4.69498422057688,0.744085431305879,0.741524578383656
"21","M2: ols_sci","factor(year)2014",-0.551208117798425,0.430293684776006,-1.28100443325205,0.200390254121428,4.69498422057688,0.744085431305879,0.741524578383656
"22","M2: ols_sci","factor(year)2015",0.264456260484273,0.411581420566896,0.642536925306349,0.520622880924857,4.69498422057688,0.744085431305879,0.741524578383656
"23","M2: ols_sci","factor(year)2016",0.742872049839008,0.418737406812577,1.77407615788076,0.0762535086296421,4.69498422057688,0.744085431305879,0.741524578383656
"24","M2: ols_sci","factor(year)2017",0.955586144236644,0.452614775889985,2.11125706702274,0.0349153863241413,4.69498422057688,0.744085431305879,0.741524578383656
"25","M2: ols_sci","factor(year)2018",1.48588543234886,0.45200830252196,3.28729676879479,0.00103495372549705,4.69498422057688,0.744085431305879,0.741524578383656
"26","M2: ols_sci","factor(year)2019",1.88802702859626,0.462381581007992,4.08326608616278,4.67512466883879e-05,4.69498422057688,0.744085431305879,0.741524578383656
"27","M2: ols_sci","factor(year)2020",2.98254197150081,0.483597706515793,6.16740305281702,8.91093923196697e-10,4.69498422057688,0.744085431305879,0.741524578383656
"28","M3: ols_multiple","(Intercept)",1.96813261063324,3.0530814360524,0.644638098215296,0.519426658612153,4.36851912722986,0.744085431305879,0.741524578383656
"29","M3: ols_multiple","spi_comp",0.124233162704559,0.05682427120934,2.18626935393303,0.0292106018033975,4.36851912722986,0.744085431305879,0.741524578383656
"30","M3: ols_multiple","sci_overall",0.138766011819386,0.0483699566014194,2.86884714333843,0.00427566869830075,4.36851912722986,0.744085431305879,0.741524578383656
"31","M3: ols_multiple","di_score",-0.392000807179374,0.275704216322651,-1.42181651194127,0.155638203942505,4.36851912722986,0.744085431305879,0.741524578383656
"32","M3: ols_multiple","log_gdppc",5.79284973139225,0.463222373702059,12.5055482210325,8.29386495987981e-32,4.36851912722986,0.744085431305879,0.741524578383656
"33","M3: ols_multiple","factor(year)2017",-0.0720616937530937,0.188465165361395,-0.382360812487074,0.702339340306043,4.36851912722986,0.744085431305879,0.741524578383656
"34","M3: ols_multiple","factor(year)2018",0.0495359192393085,0.357329600326905,0.138628087888578,0.889794060754907,4.36851912722986,0.744085431305879,0.741524578383656
"35","M3: ols_multiple","factor(year)2019",0.399866164622532,0.397804447171254,1.00518274108281,0.315244548986294,4.36851912722986,0.744085431305879,0.741524578383656
