"country_code","year","income_level"
"ARE",1996,"H"
"ARE",1997,"H"
"ARE",1998,"H"
"ARE",1999,"H"
"ARE",2000,"H"
"ARE",2001,"H"
"ARE",2002,"H"
"ARE",2003,"H"
"ARE",2004,"H"
"ARE",2005,"H"
"ARE",2006,"H"
"ARE",2007,"H"
"ARE",2008,"H"
"ARE",2009,"H"
"ARE",2010,"H"
"ARE",2011,"H"
"ARE",2012,"H"
"ARE",2013,"H"
"ARE",2014,"H"
"ARE",2015,"H"
"ARE",2016,"H"
"ARE",2017,"H"
"ARE",2018,"H"
"ARE",2019,"H"
"ARE",2020,"H"
"ARE",2021,"H"
"ARE",2022,"H"
"ARE",2023,"H"
"ARG",1987,"UM"
"ARG",1988,"UM"
"ARG",1989,"LM"
"ARG",1990,"LM"
"ARG",1991,"UM"
"ARG",1992,"UM"
"ARG",1993,"UM"
"ARG",1994,"UM"
"ARG",1995,"UM"
"ARG",1996,"UM"
"ARG",1997,"UM"
"ARG",1998,"UM"
"ARG",1999,"UM"
"ARG",2000,"UM"
"ARG",2001,"UM"
"ARG",2002,"UM"
"ARG",2003,"UM"
"ARG",2004,"UM"
"ARG",2005,"UM"
"ARG",2006,"UM"
"ARG",2007,"UM"
"ARG",2008,"UM"
"ARG",2009,"UM"
"ARG",2010,"UM"
"ARG",2011,"UM"
"ARG",2012,"UM"
"ARG",2013,"UM"
"ARG",2014,"H"
"ARG",2015,"UM"
"ARG",2016,"UM"
"ARG",2017,"H"
"ARG",2018,"UM"
"ARG",2019,"UM"
"ARG",2020,"UM"
"ARG",2021,"UM"
"ARG",2022,"UM"
"ARG",2023,"UM"
"ARM",1987,".."
"ARM",1988,".."
"ARM",1989,".."
"ARM",1990,".."
"ARM",1991,"LM"
"ARM",1992,"LM"
"ARM",1993,"L"
"ARM",1994,"L"
"ARM",1995,"L"
"ARM",1996,"L"
"ARM",1997,"L"
"ARM",1998,"L"
"ARM",1999,"L"
"ARM",2000,"L"
"ARM",2001,"L"
"ARM",2002,"LM"
"ARM",2003,"LM"
"ARM",2004,"LM"
"ARM",2005,"LM"
"ARM",2006,"LM"
"ARM",2007,"LM"
"ARM",2008,"LM"
"ARM",2009,"LM"
"ARM",2010,"LM"
"ARM",2011,"LM"
"ARM",2012,"LM"
"ARM",2013,"LM"
"ARM",2014,"LM"
"ARM",2015,"LM"
"ARM",2016,"LM"
"ARM",2017,"UM"
"ARM",2018,"UM"
"ARM",2019,"UM"
"ARM",2020,"UM"
"ARM",2021,"UM"
"ARM",2022,"UM"
"ARM",2023,"UM"
"ASM",1987,"H"
"ASM",1988,"H"
"ASM",1989,"H"
"ASM",1990,"UM"
"ASM",1991,"UM"
"ASM",1992,"UM"
"ASM",1993,"UM"
"ASM",1994,"UM"
"ASM",1995,"UM"
"ASM",1996,"UM"
"ASM",1997,"UM"
"ASM",1998,"UM"
"ASM",1999,"UM"
"ASM",2000,"UM"
"ASM",2001,"UM"
"ASM",2002,"UM"
"ASM",2003,"UM"
"ASM",2004,"UM"
"ASM",2005,"UM"
"ASM",2006,"UM"
"ASM",2007,"UM"
"ASM",2008,"UM"
"ASM",2009,"UM"
"ASM",2010,"UM"
"ASM",2011,"UM"
"ASM",2012,"UM"
"ASM",2013,"UM"
"ASM",2014,"UM"
"ASM",2015,"UM"
"ASM",2016,"UM"
"ASM",2017,"UM"
"ASM",2018,"UM"
"ASM",2019,"UM"
"ASM",2020,"UM"
"ASM",2021,"UM"
"ASM",2022,"H"
"ASM",2023,"H"
"ATG",1987,"UM"
"ATG",1988,"UM"
"ATG",1989,"UM"
"ATG",1990,"UM"
"ATG",1991,"UM"
"ATG",1992,"UM"
"ATG",1993,"UM"
"ATG",1994,"UM"
"ATG",1995,"UM"
"ATG",1996,"UM"
"ATG",1997,"UM"
"ATG",1998,"UM"
"ATG",1999,"UM"
"ATG",2000,"UM"
"ATG",2001,"UM"
"ATG",2002,"H"
"ATG",2003,"UM"
"ATG",2004,"UM"
"ATG",2005,"H"
"ATG",2006,"H"
"ATG",2007,"H"
"ATG",2008,"H"
"ATG",2009,"UM"
"ATG",2010,"UM"
"ATG",2011,"UM"
"ATG",2012,"H"
"ATG",2013,"H"
"ATG",2014,"H"
"ATG",2015,"H"
"ATG",2016,"H"
"ATG",2017,"H"
"ATG",2018,"H"
"ATG",2019,"H"
"ATG",2020,"H"
"ATG",2021,"H"
"ATG",2022,"H"
"ATG",2023,"H"
"AUS",1987,"H"
"AUS",1988,"H"
"AUS",1989,"H"
"AUS",1990,"H"
"AUS",1991,"H"
"AUS",1992,"H"
"AUS",1993,"H"
"AUS",1994,"H"
"AUS",1995,"H"
"AUS",1996,"H"
"AUS",1997,"H"
"AUS",1998,"H"
"AUS",1999,"H"
"AUS",2000,"H"
"AUS",2001,"H"
"AUS",2002,"H"
"AUS",2003,"H"
"AUS",2004,"H"
"AUS",2005,"H"
"AUS",2006,"H"
"AUS",2007,"H"
"AUS",2008,"H"
"AUS",2009,"H"
"AUS",2010,"H"
"AUS",2011,"H"
"AUS",2012,"H"
"AUS",2013,"H"
"AUS",2014,"H"
"AUS",2015,"H"
"AUS",2016,"H"
"AUS",2017,"H"
"AUS",2018,"H"
"AUS",2019,"H"
"AUS",2020,"H"
"AUS",2021,"H"
"AUS",2022,"H"
"AUS",2023,"H"
"AUT",1987,"H"
"AUT",1988,"H"
"AUT",1989,"H"
"AUT",1990,"H"
"AUT",1991,"H"
"AUT",1992,"H"
"AUT",1993,"H"
"AUT",1994,"H"
"AUT",1995,"H"
"AUT",1996,"H"
"AUT",1997,"H"
"AUT",1998,"H"
"AUT",1999,"H"
"AUT",2000,"H"
"AUT",2001,"H"
"AUT",2002,"H"
"AUT",2003,"H"
"AUT",2004,"H"
"AUT",2005,"H"
"AUT",2006,"H"
"AUT",2007,"H"
"AUT",2008,"H"
"AUT",2009,"H"
"AUT",2010,"H"
"AUT",2011,"H"
"AUT",2012,"H"
"AUT",2013,"H"
"AUT",2014,"H"
"AUT",2015,"H"
"AUT",2016,"H"
"AUT",2017,"H"
"AUT",2018,"H"
"AUT",2019,"H"
"AUT",2020,"H"
"AUT",2021,"H"
"AUT",2022,"H"
"AUT",2023,"H"
"AZE",1987,".."
"AZE",1988,".."
"AZE",1989,".."
"AZE",1990,".."
"AZE",1991,"LM"
"AZE",1992,"LM"
"AZE",1993,"LM"
"AZE",1994,"L"
"AZE",1995,"L"
"AZE",1996,"L"
"AZE",1997,"L"
"AZE",1998,"L"
"AZE",1999,"L"
"AZE",2000,"L"
"AZE",2001,"L"
"AZE",2002,"L"
"AZE",2003,"LM"
"AZE",2004,"LM"
"AZE",2005,"LM"
"AZE",2006,"LM"
"AZE",2007,"LM"
"AZE",2008,"LM"
"AZE",2009,"UM"
"AZE",2010,"UM"
"AZE",2011,"UM"
"AZE",2012,"UM"
"AZE",2013,"UM"
"AZE",2014,"UM"
"AZE",2015,"UM"
"AZE",2016,"UM"
"AZE",2017,"UM"
"AZE",2018,"UM"
"AZE",2019,"UM"
"AZE",2020,"UM"
"AZE",2021,"UM"
"AZE",2022,"UM"
"AZE",2023,"UM"
"BDI",1987,"L"
"BDI",1988,"L"
"BDI",1989,"L"
"BDI",1990,"L"
"BDI",1991,"L"
"BDI",1992,"L"
"BDI",1993,"L"
"BDI",1994,"L"
"BDI",1995,"L"
"BDI",1996,"L"
"BDI",1997,"L"
"BDI",1998,"L"
"BDI",1999,"L"
"BDI",2000,"L"
"BDI",2001,"L"
"BDI",2002,"L"
"BDI",2003,"L"
"BDI",2004,"L"
"BDI",2005,"L"
"BDI",2006,"L"
"BDI",2007,"L"
"BDI",2008,"L"
"BDI",2009,"L"
"BDI",2010,"L"
"BDI",2011,"L"
"BDI",2012,"L"
"BDI",2013,"L"
"BDI",2014,"L"
"BDI",2015,"L"
"BDI",2016,"L"
"BDI",2017,"L"
"BDI",2018,"L"
"BDI",2019,"L"
"BDI",2020,"L"
"BDI",2021,"L"
"BDI",2022,"L"
"BDI",2023,"L"
"BEL",1987,"H"
"BEL",1988,"H"
"BEL",1989,"H"
"BEL",1990,"H"
"BEL",1991,"H"
"BEL",1992,"H"
"BEL",1993,"H"
"BEL",1994,"H"
"BEL",1995,"H"
"BEL",1996,"H"
"BEL",1997,"H"
"BEL",1998,"H"
"BEL",1999,"H"
"BEL",2000,"H"
"BEL",2001,"H"
"BEL",2002,"H"
"BEL",2003,"H"
"BEL",2004,"H"
"BEL",2005,"H"
"BEL",2006,"H"
"BEL",2007,"H"
"BEL",2008,"H"
"BEL",2009,"H"
"BEL",2010,"H"
"BEL",2011,"H"
"BEL",2012,"H"
"BEL",2013,"H"
"BEL",2014,"H"
"BEL",2015,"H"
"BEL",2016,"H"
"BEL",2017,"H"
"BEL",2018,"H"
"BEL",2019,"H"
"BEL",2020,"H"
"BEL",2021,"H"
"BEL",2022,"H"
"BEL",2023,"H"
"BEN",1987,"L"
"BEN",1988,"L"
"BEN",1989,"L"
"BEN",1990,"L"
"BEN",1991,"L"
"BEN",1992,"L"
"BEN",1993,"L"
"BEN",1994,"L"
"BEN",1995,"L"
"BEN",1996,"L"
"BEN",1997,"L"
"BEN",1998,"L"
"BEN",1999,"L"
"BEN",2000,"L"
"BEN",2001,"L"
"BEN",2002,"L"
"BEN",2003,"L"
"BEN",2004,"L"
"BEN",2005,"L"
"BEN",2006,"L"
"BEN",2007,"L"
"BEN",2008,"L"
"BEN",2009,"L"
"BEN",2010,"L"
"BEN",2011,"L"
"BEN",2012,"L"
"BEN",2013,"L"
"BEN",2014,"L"
"BEN",2015,"L"
"BEN",2016,"L"
"BEN",2017,"L"
"BEN",2018,"L"
"BEN",2019,"LM"
"BEN",2020,"LM"
"BEN",2021,"LM"
"BEN",2022,"LM"
"BEN",2023,"LM"
"BFA",1987,"L"
"BFA",1988,"L"
"BFA",1989,"L"
"BFA",1990,"L"
"BFA",1991,"L"
"BFA",1992,"L"
"BFA",1993,"L"
"BFA",1994,"L"
"BFA",1995,"L"
"BFA",1996,"L"
"BFA",1997,"L"
"BFA",1998,"L"
"BFA",1999,"L"
"BFA",2000,"L"
"BFA",2001,"L"
"BFA",2002,"L"
"BFA",2003,"L"
"BFA",2004,"L"
"BFA",2005,"L"
"BFA",2006,"L"
"BFA",2007,"L"
"BFA",2008,"L"
"BFA",2009,"L"
"BFA",2010,"L"
"BFA",2011,"L"
"BFA",2012,"L"
"BFA",2013,"L"
"BFA",2014,"L"
"BFA",2015,"L"
"BFA",2016,"L"
"BFA",2017,"L"
"BFA",2018,"L"
"BFA",2019,"L"
"BFA",2020,"L"
"BFA",2021,"L"
"BFA",2022,"L"
"BFA",2023,"L"
"BGD",1987,"L"
"BGD",1988,"L"
"BGD",1989,"L"
"BGD",1990,"L"
"BGD",1991,"L"
"BGD",1992,"L"
"BGD",1993,"L"
"BGD",1994,"L"
"BGD",1995,"L"
"BGD",1996,"L"
"BGD",1997,"L"
"BGD",1998,"L"
"BGD",1999,"L"
"BGD",2000,"L"
"BGD",2001,"L"
"BGD",2002,"L"
"BGD",2003,"L"
"BGD",2004,"L"
"BGD",2005,"L"
"BGD",2006,"L"
"BGD",2007,"L"
"BGD",2008,"L"
"BGD",2009,"L"
"BGD",2010,"L"
"BGD",2011,"L"
"BGD",2012,"L"
"BGD",2013,"L"
"BGD",2014,"LM"
"BGD",2015,"LM"
"BGD",2016,"LM"
"BGD",2017,"LM"
"BGD",2018,"LM"
"BGD",2019,"LM"
"BGD",2020,"LM"
"BGD",2021,"LM"
"BGD",2022,"LM"
"BGD",2023,"LM"
"BGR",1987,".."
"BGR",1988,".."
"BGR",1989,"LM"
"BGR",1990,"LM"
"BGR",1991,"LM"
"BGR",1992,"LM"
"BGR",1993,"LM"
"BGR",1994,"LM"
"BGR",1995,"LM"
"BGR",1996,"LM"
"BGR",1997,"LM"
"BGR",1998,"LM"
"BGR",1999,"LM"
"BGR",2000,"LM"
"BGR",2001,"LM"
"BGR",2002,"LM"
"BGR",2003,"LM"
"BGR",2004,"LM"
"BGR",2005,"LM"
"BGR",2006,"UM"
"BGR",2007,"UM"
"BGR",2008,"UM"
"BGR",2009,"UM"
"BGR",2010,"UM"
"BGR",2011,"UM"
"BGR",2012,"UM"
"BGR",2013,"UM"
"BGR",2014,"UM"
"BGR",2015,"UM"
"BGR",2016,"UM"
"BGR",2017,"UM"
"BGR",2018,"UM"
"BGR",2019,"UM"
"BGR",2020,"UM"
"BGR",2021,"UM"
"BGR",2022,"UM"
"BGR",2023,"H"
"BHR",1987,"H"
"BHR",1988,"H"
"BHR",1989,"H"
"BHR",1990,"UM"
"BHR",1991,"UM"
"BHR",1992,"UM"
"BHR",1993,"UM"
"BHR",1994,"UM"
"BHR",1995,"UM"
"BHR",1996,"UM"
"BHR",1997,"UM"
"BHR",1998,"UM"
"BHR",1999,"UM"
"BHR",2000,"UM"
"BHR",2001,"H"
"BHR",2002,"H"
"BHR",2003,"H"
"BHR",2004,"H"
"BHR",2005,"H"
"BHR",2006,"H"
"BHR",2007,"H"
"BHR",2008,"H"
"BHR",2009,"H"
"BHR",2010,"H"
"BHR",2011,"H"
"BHR",2012,"H"
"BHR",2013,"H"
"BHR",2014,"H"
"BHR",2015,"H"
"BHR",2016,"H"
"BHR",2017,"H"
"BHR",2018,"H"
"BHR",2019,"H"
"BHR",2020,"H"
"BHR",2021,"H"
"BHR",2022,"H"
"BHR",2023,"H"
"BHS",1987,"H"
"BHS",1988,"H"
"BHS",1989,"H"
"BHS",1990,"H"
"BHS",1991,"H"
"BHS",1992,"H"
"BHS",1993,"H"
"BHS",1994,"H"
"BHS",1995,"H"
"BHS",1996,"H"
"BHS",1997,"H"
"BHS",1998,"H"
"BHS",1999,"H"
"BHS",2000,"H"
"BHS",2001,"H"
"BHS",2002,"H"
"BHS",2003,"H"
"BHS",2004,"H"
"BHS",2005,"H"
"BHS",2006,"H"
"BHS",2007,"H"
"BHS",2008,"H"
"BHS",2009,"H"
"BHS",2010,"H"
"BHS",2011,"H"
"BHS",2012,"H"
"BHS",2013,"H"
"BHS",2014,"H"
"BHS",2015,"H"
"BHS",2016,"H"
"BHS",2017,"H"
"BHS",2018,"H"
