"model","term","estimate","std.error","ci_low","ci_high"
"FD_Direct","(Intercept)",0.296270483315168,0.0251641452511324,0.246948758622948,0.345592208007387
"FD_Direct","di_score",0.0346796545015715,0.0996436728236203,-0.160621944232724,0.229981253235867
"FD_Direct","plm::lag(di_score, 1)",0.148368692703792,0.0814424069378812,-0.0112584248944552,0.307995810302039
"FD_Direct","plm::lag(di_score, 2)",-0.18442711608366,0.139457006858425,-0.457762849526173,0.088908617358853
"FD_Direct","log_gdppc",-0.141934392825972,0.312096427519439,-0.753643390764073,0.469774605112128
"FD_Direct","factor(year)2019",0.0935079180820918,0.0331614420653646,0.0285114916339772,0.158504344530206
"FD_Direct","factor(year)2020",0.187875798307766,0.0620525488446478,0.066252802572256,0.309498794043275
"FD_Direct","factor(year)2021",0.140281354360346,0.0452861392738237,0.0515205213836514,0.22904218733704
"FD_Direct","factor(year)2022",0.0544730309274248,0.0478889504036083,-0.0393893118636475,0.148335373718497
"FD_Mediation","(Intercept)",0.214286973687475,0.0323678579203772,0.150845972163536,0.277727975211415
"FD_Mediation","spi_comp",0.0199798038720712,0.00887768138123829,0.0025795483648442,0.0373800593792983
"FD_Mediation","plm::lag(spi_comp, 1)",0.0087275396206995,0.00690319990932079,-0.00480273220156925,0.0222578114429682
"FD_Mediation","plm::lag(spi_comp, 2)",0.0135727369545724,0.00670668441817792,0.000427635494943667,0.0267178384142011
"FD_Mediation","di_score",0.042612519729804,0.10025586439212,-0.153888974478752,0.23911401393836
"FD_Mediation","plm::lag(di_score, 1)",0.15865843921298,0.0810424753489408,-0.000184812470943707,0.317501690896904
"FD_Mediation","plm::lag(di_score, 2)",-0.19600413902346,0.142814009908731,-0.475919598444573,0.083911320397653
"FD_Mediation","log_gdppc",-0.134737710101486,0.316901595794181,-0.75586483785808,0.486389417655107
"FD_Mediation","factor(year)2019",0.116849268360484,0.0352092486815717,0.0478391409446029,0.185859395776364
"FD_Mediation","factor(year)2020",0.212611056453668,0.062110034021183,0.0908753897721494,0.334346723135187
"FD_Mediation","factor(year)2021",0.126827453446683,0.050400578676336,0.0280423192410646,0.225612587652302
"FD_Mediation","factor(year)2022",0.0591348480025542,0.0525296039337554,-0.0438231757076065,0.162092871712715
"TWFE_Direct","di_score",0.0962805555950909,0.0803768212045451,-0.0612580139658176,0.253819125155999
"TWFE_Direct","plm::lag(di_score, 1)",0.166927631258056,0.0996599909698776,-0.028405951042904,0.362261213559016
"TWFE_Direct","plm::lag(di_score, 2)",-0.201018639786941,0.128163801398795,-0.452219690528579,0.0501824109546968
"TWFE_Direct","log_gdppc",0.00348929759213025,0.354835988014473,-0.691989238916238,0.698967834100498
"TWFE_Direct","factor(year)2019",0.390898218505827,0.0388479130855843,0.314756308858082,0.467040128153572
"TWFE_Direct","factor(year)2020",0.797110621423515,0.0656767688230107,0.668384154530414,0.925837088316615
"TWFE_Direct","factor(year)2021",1.03504510508317,0.0686707720797594,0.900450391806844,1.1696398183595
"TWFE_Direct","factor(year)2022",1.23572071924188,0.0869007494880525,1.0653952502453,1.40604618823846
"TWFE_Direct","factor(year)2023",1.45933922676798,0.116273310869649,1.23144353746347,1.6872349160725
"TWFE_Mediation","spi_comp",0.0343922113534646,0.0120002012448246,0.0108718169136084,0.0579126057933208
"TWFE_Mediation","plm::lag(spi_comp, 1)",0.00427698499080385,0.00772431795704179,-0.0108626782049981,0.0194166481866058
"TWFE_Mediation","plm::lag(spi_comp, 2)",0.015510770466171,0.00884376492644639,-0.00182300878966386,0.032844549722006
"TWFE_Mediation","di_score",0.126250684267518,0.0799246086374929,-0.0304015486619678,0.282902917197004
"TWFE_Mediation","plm::lag(di_score, 1)",0.175236163975799,0.0968027744975722,-0.0144972740394424,0.364969601991041
"TWFE_Mediation","plm::lag(di_score, 2)",-0.235958161333068,0.127878776766144,-0.486600563794711,0.0146842411285742
"TWFE_Mediation","log_gdppc",-0.00101850632934633,0.386827330380887,-0.759200073875886,0.757163061217193
"TWFE_Mediation","factor(year)2019",0.340903347553666,0.0450779252919852,0.252550613981375,0.429256081125957
"TWFE_Mediation","factor(year)2020",0.630785886820925,0.077868208709854,0.478164197749611,0.783407575892239
"TWFE_Mediation","factor(year)2021",0.691225601627077,0.108038240685613,0.479470649883275,0.902980553370878
"TWFE_Mediation","factor(year)2022",0.850865252692979,0.132407488829764,0.591346574586641,1.11038393079932
"TWFE_Mediation","factor(year)2023",0.959712948293773,0.166048610089438,0.634257672518475,1.28516822406907
