"","model","term","estimate","std.error","t.statistic","p.value","residual.SE","r.squared","adj.r.squared"
"1","M1: ols_spi","(Intercept)",18.969221036605,2.51815843770291,7.53297360189492,9.5961679807172e-14,4.76879092038432,0.777516573298237,0.775700382059855
"2","M1: ols_spi","spi_comp",0.287352244966693,0.0384698985624709,7.46953477145421,1.52433744600456e-13,4.76879092038432,0.777516573298237,0.775700382059855
"3","M1: ols_spi","di_score",0.205851902518833,0.284909470117649,0.722516883815163,0.470114656597595,4.76879092038432,0.777516573298237,0.775700382059855
"4","M1: ols_spi","log_gdppc",3.31205853587121,0.474897587555431,6.97425849838546,5.01774502804533e-12,4.76879092038432,0.777516573298237,0.775700382059855
"5","M1: ols_spi","factor(year)2017",-0.419064658376335,0.142163611217068,-2.94776317785337,0.00326146570670267,4.76879092038432,0.777516573298237,0.775700382059855
"6","M1: ols_spi","factor(year)2018",-0.959263495165637,0.240162787438961,-3.99422202496479,6.87714164497992e-05,4.76879092038432,0.777516573298237,0.775700382059855
"7","M1: ols_spi","factor(year)2019",-0.630818402975971,0.262473431135354,-2.40336098113743,0.0163930368571753,4.76879092038432,0.777516573298237,0.775700382059855
"8","M1: ols_spi","factor(year)2020",-0.655483717391445,0.360424124667838,-1.8186455137972,0.0692096184791255,4.76879092038432,0.777516573298237,0.775700382059855
"9","M1: ols_spi","factor(year)2021",-2.19599389313287,0.517800547282595,-4.2410034223745,2.39261815079584e-05,4.76879092038432,0.777516573298237,0.775700382059855
"10","M1: ols_spi","factor(year)2022",-2.10963321824178,0.492953552332228,-4.27957808248023,2.01843670678091e-05,4.76879092038432,0.777516573298237,0.775700382059855
"11","M1: ols_spi","factor(year)2023",-2.49490855407204,0.525140031493453,-4.75093956744592,2.26399759998207e-06,4.76879092038432,0.777516573298237,0.775700382059855
"12","M2: ols_sci","(Intercept)",1.88149828825057,2.95077222135538,0.637629117772548,0.523812516914756,4.69498422057688,0.744085431305878,0.741524578383655
"13","M2: ols_sci","sci_overall",0.237633436544182,0.0301953200386114,7.86987639939948,6.7509046563916e-15,4.69498422057688,0.744085431305878,0.741524578383655
"14","M2: ols_sci","di_score",-0.0825166125231223,0.267957534974431,-0.307946602550275,0.758165746856181,4.69498422057688,0.744085431305878,0.741524578383655
"15","M2: ols_sci","log_gdppc",5.50845356676001,0.474053057459559,11.6199093752917,6.00769353115505e-30,4.69498422057688,0.744085431305878,0.741524578383655
"16","M2: ols_sci","factor(year)2008",-1.25009471774865,0.235713530442638,-5.30344912912359,1.30642811194167e-07,4.69498422057688,0.744085431305878,0.741524578383655
"17","M2: ols_sci","factor(year)2010",-1.01868180474587,0.297008408253567,-3.429807966501,0.000620396574438144,4.69498422057688,0.744085431305878,0.741524578383655
"18","M2: ols_sci","factor(year)2011",-1.50521148382972,0.360971322926868,-4.16989214440914,3.22196728552665e-05,4.69498422057688,0.744085431305878,0.741524578383655
"19","M2: ols_sci","factor(year)2012",-1.03527953756088,0.390527277170134,-2.65097881270367,0.00811041904739983,4.69498422057688,0.744085431305878,0.741524578383655
"20","M2: ols_sci","factor(year)2013",-0.955591303762073,0.4175564771359,-2.28853186595657,0.0222451656733977,4.69498422057688,0.744085431305878,0.741524578383655
"21","M2: ols_sci","factor(year)2014",-0.55120811779842,0.430293684775994,-1.28100443325208,0.20039025412142,4.69498422057688,0.744085431305878,0.741524578383655
"22","M2: ols_sci","factor(year)2015",0.264456260484278,0.411581420566896,0.642536925306361,0.520622880924849,4.69498422057688,0.744085431305878,0.741524578383655
"23","M2: ols_sci","factor(year)2016",0.742872049839013,0.418737406812575,1.77407615788078,0.0762535086296391,4.69498422057688,0.744085431305878,0.741524578383655
"24","M2: ols_sci","factor(year)2017",0.955586144236651,0.45261477588997,2.11125706702283,0.034915386324134,4.69498422057688,0.744085431305878,0.741524578383655
"25","M2: ols_sci","factor(year)2018",1.48588543234886,0.452008302521965,3.28729676879476,0.00103495372549715,4.69498422057688,0.744085431305878,0.741524578383655
"26","M2: ols_sci","factor(year)2019",1.88802702859627,0.462381581007992,4.08326608616279,4.67512466883866e-05,4.69498422057688,0.744085431305878,0.741524578383655
"27","M2: ols_sci","factor(year)2020",2.98254197150082,0.483597706515781,6.16740305281718,8.91093923195843e-10,4.69498422057688,0.744085431305878,0.741524578383655
"28","M3: ols_multiple","(Intercept)",1.96813261063312,3.05308143605244,0.644638098215247,0.519426658612184,4.36851912722987,0.744085431305878,0.741524578383655
"29","M3: ols_multiple","spi_comp",0.124233162704559,0.0568242712093448,2.18626935393285,0.0292106018034107,4.36851912722987,0.744085431305878,0.741524578383655
"30","M3: ols_multiple","sci_overall",0.138766011819386,0.0483699566014228,2.86884714333824,0.00427566869830337,4.36851912722987,0.744085431305878,0.741524578383655
"31","M3: ols_multiple","di_score",-0.392000807179376,0.275704216322647,-1.4218165119413,0.155638203942496,4.36851912722987,0.744085431305878,0.741524578383655
"32","M3: ols_multiple","log_gdppc",5.79284973139226,0.463222373702069,12.5055482210323,8.29386495990002e-32,4.36851912722987,0.744085431305878,0.741524578383655
"33","M3: ols_multiple","factor(year)2017",-0.0720616937530942,0.188465165361401,-0.382360812487064,0.70233934030605,4.36851912722987,0.744085431305878,0.741524578383655
"34","M3: ols_multiple","factor(year)2018",0.0495359192393039,0.357329600326931,0.138628087888555,0.889794060754925,4.36851912722987,0.744085431305878,0.741524578383655
"35","M3: ols_multiple","factor(year)2019",0.399866164622528,0.39780444717128,1.00518274108273,0.31524454898633,4.36851912722987,0.744085431305878,0.741524578383655
